Colony,Ile,Site,IleSite,Clade,SymClade,Holobiotype,IleHolobiotype,Prop,SymCladeOrig
I01S01C01POC,I01,S01,I01S01,SVD4,D1,SVD4_D1,I01_SVD4_D1,0.87,D1
I01S01C01POC,I01,S01,I01S01,SVD4,Group5,SVD4_D1,I01_SVD4_D1,0.13,Cladocopium C1 (undefined)
I01S01C06POC,I01,S01,I01S01,SVD4,D1,SVD4_D1,I01_SVD4_D1,1,D1
I01S01C10POC,I01,S01,I01S01,SVD4,D1,SVD4_D1,I01_SVD4_D1,1,D1
I01S02C01POC,I01,S02,I01S02,SVD4,Group5,SVD4_Group5,I01_SVD4_Group5,1,Group5
I01S02C06POC,I01,S02,I01S02,SVD4,Group5,SVD4_Group5,I01_SVD4_Group5,1,Group5
I01S02C10POC,I01,S02,I01S02,SVD4,D1,SVD4_D1,I01_SVD4_D1,0.97,D1
I01S02C10POC,I01,S02,I01S02,SVD4,Group5,SVD4_D1,I01_SVD4_D1,0.03,Cladocopium C1 (undefined)
I01S03C06POC,I01,S03,I01S03,SVD4,Group5,SVD4_Group5,I01_SVD4_Group5,1,Group5
I01S03C10POC,I01,S03,I01S03,SVD4,Group5,SVD4_Group5,I01_SVD4_Group5,1,Group5
I02S01C01POC,I02,S01,I02S01,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S01C06POC,I02,S01,I02S01,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S01C10POC,I02,S01,I02S01,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S02C01POC,I02,S02,I02S02,SVD4,Group5,SVD4_Group5,I02_SVD4_Group5,1,Group5
I02S02C06POC,I02,S02,I02S02,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S02C10POC,I02,S02,I02S02,SVD4,Group5,SVD4_Group5,I02_SVD4_Group5,1,Group5
I02S03C01POC,I02,S03,I02S03,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S03C06POC,I02,S03,I02S03,SVD4,D1,SVD4_D1,I02_SVD4_D1,1,D1
I02S03C10POC,I02,S03,I02S03,SVD4,Group5,SVD4_D1,I02_SVD4_D1,0.69,Cladocopium C1 (undefined)
I02S03C10POC,I02,S03,I02S03,SVD4,D1,SVD4_D1,I02_SVD4_D1,0.31,D1
I03S01C12POC,I03,S01,I03S01,SVD4,D1,SVD4_D1,I03_SVD4_D1,0.7,D1
I03S01C12POC,I03,S01,I03S01,SVD4,Group5,SVD4_D1,I03_SVD4_D1,0.3,Cladocopium C1 (undefined)
I03S01C13POC,I03,S01,I03S01,SVD4,Group5,SVD4_Group5,I03_SVD4_Group5,1,Group5
I03S01C14POC,I03,S01,I03S01,SVD4,D1,SVD4_D1,I03_SVD4_D1,0.87,D1
I03S01C14POC,I03,S01,I03S01,SVD4,Group5,SVD4_D1,I03_SVD4_D1,0.13,Cladocopium C1 (undefined)
I03S01C17POC,I03,S01,I03S01,SVD4,Group5,SVD4_Group5,I03_SVD4_Group5,1,Group5
I03S01C18POC,I03,S01,I03S01,SVD4,Group5,SVD4_Group5,I03_SVD4_Group5,1,Group5
I03S01C19POC,I03,S01,I03S01,SVD4,Group5,SVD4_Group5,I03_SVD4_Group5,1,Group5
I04S01C01POC,I04,S01,I04S01,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S01C06POC,I04,S01,I04S01,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S01C10POC,I04,S01,I04S01,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S02C01POC,I04,S02,I04S02,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S02C06POC,I04,S02,I04S02,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S02C10POC,I04,S02,I04S02,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S03C01POC,I04,S03,I04S03,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S03C06POC,I04,S03,I04S03,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S03C10POC,I04,S03,I04S03,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S04C01POC,I04,S04,I04S04,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S04C06POC,I04,S04,I04S04,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I04S04C10POC,I04,S04,I04S04,SVD5,Group1,SVD5_Group1,I04_SVD5_Group1,1,Group1
I05S01C01POC,I05,S01,I05S01,SVD4,Group4,SVD4_Group4,I05_SVD4_Group4,1,Group4
I05S01C06POC,I05,S01,I05S01,SVD4,Group4,SVD4_Group4,I05_SVD4_Group4,1,Group4
I05S01C10POC,I05,S01,I05S01,SVD1,Group2,SVD1_Group2,I05_SVD1_Group2,1,Group2
I05S02C06POC,I05,S02,I05S02,SVD1,Group2,SVD1_Group2,I05_SVD1_Group2,1,Group2
I05S02C10POC,I05,S02,I05S02,SVD1,Group2,SVD1_Group2,I05_SVD1_Group2,1,Group2
I05S03C01POC,I05,S03,I05S03,SVD5,Group3,SVD5_Group3,I05_SVD5_Group3,1,Group3
I05S03C06POC,I05,S03,I05S03,SVD5,Group3,SVD5_Group3,I05_SVD5_Group3,1,Group3
I05S03C10POC,I05,S03,I05S03,SVD4,Group4,SVD4_Group4,I05_SVD4_Group4,1,Group4
I06S01C01POC,I06,S01,I06S01,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S01C06POC,I06,S01,I06S01,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S01C10POC,I06,S01,I06S01,SVD4,Group4,SVD4_Group4,I06_SVD4_Group4,1,Group4
I06S02C01POC,I06,S02,I06S02,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S02C06POC,I06,S02,I06S02,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S02C10POC,I06,S02,I06S02,SVD4,Group4,SVD4_Group4,I06_SVD4_Group4,1,Group4
I06S03C01POC,I06,S03,I06S03,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S03C06POC,I06,S03,I06S03,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I06S03C10POC,I06,S03,I06S03,SVD1,Group2,SVD1_Group2,I06_SVD1_Group2,1,Group2
I07S01C01POC,I07,S01,I07S01,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S01C06POC,I07,S01,I07S01,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S01C10POC,I07,S01,I07S01,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S02C01POC,I07,S02,I07S02,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S02C06POC,I07,S02,I07S02,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S02C10POC,I07,S02,I07S02,SVD2,Group5,SVD2_Group5,I07_SVD2_Group5,1,Group5
I07S03C01POC,I07,S03,I07S03,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S03C06POC,I07,S03,I07S03,SVD5,Group3,SVD5_Group3,I07_SVD5_Group3,1,Group3
I07S03C10POC,I07,S03,I07S03,SVD1,Group2,SVD1_Group2,I07_SVD1_Group2,1,Group2
I08S01C01POC,I08,S01,I08S01,SVD3,Group3,SVD3_Group3,I08_SVD3_Group3,1,Group3
