Samples	Symbio_Genus	RatioD	PocilloGG	SymbioGG	Islands	Batch	TaraSampleName
I01S02C001POC	C	NA	SVD4	Group5	I01	NEB_U2	TARA_CO-0000062
I01S02C006POC	C	0	SVD4	Group5	I01	NEB_U2	TARA_CO-0000070
I01S03C006POC	C	0	SVD4	Group5	I01	NEB_U2	TARA_CO-0000500
I01S03C010POC	C	0	SVD4	Group5	I01	NEB_U2	TARA_CO-0000504
I02S02C001POC	C	0	SVD4	Group5	I02	NEB_U2	TARA_CO-0000220
I02S02C010POC	C	0	SVD4	Group5	I02	NEB_U2	TARA_CO-0000229
I03S01C013POC	C	0	SVD4	Group5	I03	TruSeq	TARA_CO-0000557
I03S01C017POC	C	0	SVD4	Group5	I03	TruSeq	TARA_CO-0000561
I03S01C018POC	C	0	SVD4	Group5	I03	TruSeq	TARA_CO-0000562
I03S01C019POC	C	0	SVD4	Group5	I03	TruSeq	TARA_CO-0000563
I04S01C001POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000580
I04S01C006POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000585
I04S01C010POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000589
I04S02C001POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000655
I04S02C006POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000660
I04S02C010POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000664
I04S03C001POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000697
I04S03C006POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000702
I04S03C010POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000706
I04S04C001POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000777
I04S04C006POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000782
I04S04C010POC	C	0	SVD5	Group1	I04	TruSeq	TARA_CO-0000786
I05S01C001POC	C	0	SVD4	Group4	I05	TruSeq	TARA_CO-0000817
I05S01C006POC	C	0	SVD4	Group4	I05	TruSeq	TARA_CO-0000822
I05S01C010POC	C	0	SVD1	Group2	I05	TruSeq	TARA_CO-0000826
I05S02C002POC	C	0	SVD1	NA	I05	TruSeq	TARA_CO-0000919
I05S02C006POC	C	0	SVD1	Group2	I05	TruSeq	TARA_CO-0000923
I05S02C010POC	C	0	SVD1	Group2	I05	TruSeq	TARA_CO-0000927
