Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Pmea_00018944	1e-04	0.9174	0	0.000525413737886245	0.00254938376392366	0	0	0.9172	0	0.000325	0.9179	0	0.0825
Pmea_00033078	0	0.9159	0	0	0.157123124271407	0.15989683182375	0	0.9159	0	0	0.9163	0	0.0841
Pmea_00031439	0	0.9035	0	0.000174147273097435	0.00180583118331318	0	0	0.9034	0	0	0.9036	0	0.0965
Pmea_00027387	0.0073	0.8917	0	0.00249321584555474	0.00203177063646267	0	0.0072	0.8916	0	0.0076	0.8918	0	0.101
Pmea_00022094	0	0.8861	0	0	0.00461184728211325	0	0	0.8858	0	0	0.8872	0	0.1139
Pmea_00007257	0	0.8825	0	0.0026307618821946	0.00226601126888352	0	0	0.8825	0	0	0.882825	0	0.1175
Pmea_00032268	0	0	0.8818	0.000927977598998179	0	0.00646243973068432	0	0	0.881675	0	0	0.8822	0.1182
Pmea_00022366	0	0.8788	0	0	0.00543534077063519	0	0	0.8788	0	0	0.8789	0	0.1212
Pmea_00009221	0	0.8768	0	0	0.00794435667819006	0	0	0.8768	0	0	0.8768	0	0.1232
Pmea_00031297	0.8761	0.014	0.00015	0.0045410783883669	0.00518851451075188	0.004262086912357	0.874875	0.012825	0	0.877625	0.014425	0.0012	0.10975
Pmea_00023101	0.05825	0.86875	0	0.00346418602971677	0.00485389888063547	0	0.056225	0.867075	0	0.0602	0.871025	0	0.073
Pmea_00030639	0	0.8639	0	0	0.00638368691164116	0	0	0.8637	0	0	0.8654	0	0.1361
Pmea_00007011	0	0.8618	0	0.00045	0.00524610591512669	0	0	0.8618	0	0	0.862225	0	0.1382
Pmea_00027307	0.0291	0.857	0	0.00313667198015845	0.00408496862740324	0	0.0288	0.8567	0	0.0296	0.857325	0	0.1139
Pmea_00027883	0	0.8508	0	0	0.00687981265894807	0	0	0.8508	0	0	0.8508	0	0.1492
Pmea_00008103	0	0.85055	0.01595	0.00138372794663656	0.00506740933552218	0.00306778948482981	0	0.8492	0.015175	0	0.8538	0.0174	0.1335
Pmea_00024364	0	0.8499	0	0	0.00526319371492329	0	0	0.849475	0	0	0.851475	0	0.1501
Pmea_00009321	0.0101	0.84915	0	0.00184912182269085	0.00396529120537626	0	0.0098	0.8489	0	0.0106	0.850025	0	0.14075
Pmea_00020247	0.0121	0.8431	0	0.00282866353137615	0.0042011747996209	0	0.0115	0.8426	0	0.012625	0.844225	0	0.1448
Pmea_00029614	0.026	9e-04	0.84025	0.00433888630220179	0.00329240386834957	0.0110204527487703	0.02525	0	0.8389	0.0268	0.00185	0.842625	0.13285
Pmea_00015768	0.0074	0.8374	0.0052	0.00278949164479187	0.00439369336824287	0.00322802062752349	0.006775	0.836175	0.003975	0.0081	0.838825	0.006725	0.15
Pmea_00003942	9e-04	0.8306	0	0.00305694688249964	0.00617328097366367	0	0.00055	0.8304	0	0.0012	0.8316	0	0.1685
Pmea_00030649	0	0.8301	0	0	0.00632158807243684	0	0	0.828875	0	0	0.83205	0	0.1699
Pmea_00003829	0.003	0.8292	0	0.00173168453048796	0.00330479969288625	0	0.0025	0.8282	0	0.004325	0.8304	0	0.1678
Pmea_00023169	0.8267	0	0	0.00410951826909681	0	0	0.8255	0	0	0.830025	0	0	0.1733
Pmea_00032182	0	0.8251	0	0.0104377943314213	0.0101301758936538	0	0	0.825	0	2e-04	0.8253	0	0.1749
