Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2363.5	0	0	0.9912	0	0	0.0949642413610244	0	0	0.9912	0	0	0.9912	0.00880000000000003
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold308.5	0	0	0.982	0.000273224662020323	0	0.0941608216817872	0	0	0.982	0	0	0.982	0.018
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold953.7	0.9584	0	0	0.0921203637564488	0	0	0.9581	0	0	0.9591	0	0	0.0416
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5481.2	0.9581	0	0	0.0928014774676755	0	0	0.9581	0	0	0.9583	0	0	0.0419
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1172.7	0.0164	0	0.9507	0.00278403871374538	0	0.0912062917722868	0.0162	0	0.9504	0.0168	0	0.9509	0.0329
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold425.5	0	0	0.9387	0	0	0.0900946970184864	0	0	0.9386	0	0	0.9391	0.0613
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2755.1	0.9363	0	0	0.0899171737653851	0.00041883939118703	0.000239839395804393	0.9357	0	0	0.9374	0	0	0.0637
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4576.1	0.0156	0	0.9324	0.00511890272789146	0.0015314663100387	0.0895175308525399	0.0147	0	0.9316	0.0164	0	0.9332	0.052
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4954.1	0.0105	0.0046	0.9318	0.0121026940750231	0.00196084159537365	0.0898885817675307	0.0086	0.0041	0.9308	0.0122	0.0057	0.9336	0.0531
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1774.1	0	4e-04	0.9296	0	0.000819554796557236	0.0891644263725349	0	0	0.929	0	0.0011	0.9304	0.0700000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1091.2	0.0114	0	0.9276	0.00413038865381122	0.000667502025052255	0.0889803969504199	0.0097	0	0.9256	0.0135	0	0.9292	0.0610000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3193.2	0.9275	0.005	0	0.0890465187654597	0.00158573587771426	0	0.9265	0.0043	0	0.9288	0.0061	0	0.0675
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1711.2	0.9252	0	0	0.242409217875425	0	0	0.9251	0	0	0.9254	0	0	0.0748
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1066.11	0.0175	0	0.9214	0.00253680518843097	0	0.0884178135442954	0.0167	0	0.9208	0.0184	0	0.9225	0.0611
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold409.5	0.0206	0	0.9204	0.00425789227424745	0	0.0884334383535335	0.0188	0	0.9191	0.0215	0	0.9221	0.0590000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold165.1	0.0065	0	0.9163	0.00243587484048999	0.000135155741327786	0.0880325856424561	0.0049	0	0.9155	0.0073	0	0.9194	0.0772
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold409.4	0.0158	1e-04	0.9162	0.00278138410140309	0.00129478160134248	0.0880154204124321	0.0153	0	0.9154	0.0165	8e-04	0.917	0.0679
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1641.4	0.0101	0	0.9151	0.00425239374134505	0	0.0878389224256446	0.0087	0	0.9127	0.0124	0	0.9177	0.0748
