Sample	Symbio_Genus	RatioD	PocilloGG	SymbioGG	Islands	Batch
I01S01C001POC	CD	0,87	SVD4	CD	I01	NEB_U2
I01S01C006POC	D	1	SVD4	D	I01	NEB_U2
I01S01C010POC	D	1	SVD4	D	I01	NEB_U2
I01S02C001POC	C	NA	SVD4	Group5	I01	NEB_U2
I01S02C006POC	C	0	SVD4	Group5	I01	NEB_U2
I01S02C010POC	CD	0,97	SVD4	D	I01	NEB_U2
I01S03C006POC	C	0	SVD4	Group5	I01	NEB_U2
I01S03C010POC	C	0	SVD4	Group5	I01	NEB_U2
I02S01C001POC	D	1	SVD4	D	I02	NEB_U2
I02S01C006POC	D	1	SVD4	D	I02	NEB_U2
I02S01C010POC	D	1	SVD4	D	I02	NEB_U2
I02S02C001POC	C	0	SVD4	Group5	I02	NEB_U2
I02S02C006POC	D	1	SVD4	D	I02	NEB_U2
I02S02C010POC	C	0	SVD4	Group5	I02	NEB_U2
I02S03C001POC	D	1	SVD4	D	I02	NEB_U2
I02S03C006POC	D	1	SVD4	D	I02	NEB_U2
I02S03C010POC	CD	0,69	SVD4	CD	I02	NEB_U2
I03S01C011POC	CD	0,47	SVD4	CD	I03	TruSeq
I03S01C012POC	CD	0,7	SVD4	CD	I03	TruSeq
I03S01C013POC	C	0	SVD4	Group5	I03	TruSeq
I03S01C014POC	CD	0,87	SVD4	CD	I03	TruSeq
I03S01C015POC	CD	0,18	SVD4	CD	I03	TruSeq
I03S01C016POC	CD	0,12	SVD4	CD	I03	TruSeq
I03S01C017POC	C	0	SVD4	Group5	I03	TruSeq
I03S01C018POC	C	0	SVD4	Group5	I03	TruSeq
I03S01C019POC	C	0	SVD4	Group5	I03	TruSeq
I03S01C020POC	CD	0,11	SVD4	CD	I03	TruSeq
I04S01C001POC	C	0	SVD5	Group1	I04	TruSeq
I04S01C006POC	C	0	SVD5	Group1	I04	TruSeq
I04S01C010POC	C	0	SVD5	Group1	I04	TruSeq
I04S02C001POC	C	0	SVD5	Group1	I04	TruSeq
I04S02C006POC	C	0	SVD5	Group1	I04	TruSeq
I04S02C010POC	C	0	SVD5	Group1	I04	TruSeq
I04S03C001POC	C	0	SVD5	Group1	I04	TruSeq
I04S03C006POC	C	0	SVD5	Group1	I04	TruSeq
I04S03C010POC	C	0	SVD5	Group1	I04	TruSeq
I04S04C001POC	C	0	SVD5	Group1	I04	TruSeq
I04S04C006POC	C	0	SVD5	Group1	I04	TruSeq
I04S04C010POC	C	0	SVD5	Group1	I04	TruSeq
I05S01C001POC	C	0	SVD4	Group4	I05	TruSeq
I05S01C006POC	C	0	SVD4	Group4	I05	TruSeq
I05S01C010POC	C	0	SVD1	Group2	I05	TruSeq
I05S02C002POC	C	0	SVD1	NA	I05	TruSeq
I05S02C006POC	C	0	SVD1	Group2	I05	TruSeq
I05S02C010POC	C	0	SVD1	Group2	I05	TruSeq
I05S03C001POC	C	0	SVD5	Group3	I05	TruSeq
I05S03C006POC	C	0	SVD5	Group3	I05	TruSeq
I05S03C010POC	C	0	SVD4	Group4	I05	TruSeq
I06S01C001POC	C	0	SVD1	Group2	I06	NEB_U2
I06S01C006POC	C	0	SVD1	Group2	I06	NEB_U2
I06S01C010POC	C	0	SVD4	Group4	I06	NEB_U2
I06S02C001POC	C	0	SVD1	Group2	I06	NEB_U2
I06S02C006POC	C	0	SVD1	Group2	I06	NEB_U2
I06S02C010POC	C	0	SVD4	Group4	I06	NEB_U2
I06S03C001POC	C	0	SVD1	Group2	I06	NEB_U2
I06S03C006POC	C	0	SVD1	Group2	I06	NEB_U2
I06S03C010POC	C	0	SVD1	Group2	I06	NEB_U2
I07S01C001POC	C	0	SVD5	Group3	I07	TruSeq
I07S01C006POC	C	0	SVD5	Group3	I07	TruSeq
I07S01C010POC	C	0	SVD5	Group3	I07	TruSeq
I07S02C001POC	C	0	SVD5	Group3	I07	TruSeq
I07S02C006POC	C	0	SVD5	Group3	I07	TruSeq
I07S02C010POC	C	0	SVD2	Group5	I07	TruSeq
I07S03C001POC	C	0	SVD5	Group3	I07	TruSeq
I07S03C006POC	C	0	SVD5	Group3	I07	TruSeq
I07S03C010POC	C	0	SVD1	Group2	I07	TruSeq
I08S01C001POC	C	0	SVD3	Group3	I08	TruSeq
I08S01C006POC	C	0	SVD2	Group5	I08	TruSeq
I08S01C010POC	C	0	SVD3	Group3	I08	TruSeq
I08S02C001POC	C	0	SVD3	Group3	I08	TruSeq
I08S02C006POC	C	0	SVD2	Group5	I08	TruSeq
I08S02C010POC	C	0	SVD2	Group5	I08	TruSeq
I08S03C001POC	C	0	SVD3	Group3	I08	TruSeq
I08S03C006POC	C	0	SVD2	Group5	I08	TruSeq
I08S03C010POC	C	0	SVD3	Group3	I08	TruSeq
I09S01C001POC	C	0	SVD3	Group3	I09	TruSeq
I09S01C006POC	C	0	SVD2	Group5	I09	TruSeq
I09S01C010POC	C	0	SVD2	Group5	I09	TruSeq
I09S02C001POC	C	0	SVD3	Group3	I09	TruSeq
I09S02C006POC	C	0	SVD3	Group3	I09	TruSeq
I09S02C010POC	C	0	SVD3	Group3	I09	TruSeq
I09S03C001POC	C	0	SVD2	Group5	I09	TruSeq
