Tube_ID	Species_haplotype
11A06	Haplotype 10
11A07	Haplotype 10
11A38	Haplotype 10
11B01	Haplotype 10
11B13	Haplotype 10
11C05	Haplotype 10
12A39	Haplotype 10
12B15	Haplotype 10
12C36	Haplotype 10
13A32	Haplotype 10
13B24	Haplotype 10
13C70	Haplotype 10
14B56	Haplotype 10
15B42	Haplotype 10
15C54	Haplotype 10
15C61	Haplotype 10
16A49	Haplotype 10
16A57	Haplotype 10
16A65	Haplotype 10
21C08	Haplotype 10
21C29	Haplotype 10
21C38	Haplotype 10
21D10	Haplotype 10
22A33	Haplotype 10
22A53	Haplotype 10
22B23	Haplotype 10
22C05	Haplotype 10
22C41	Haplotype 10
23A50	Haplotype 10
23A51	Haplotype 10
23B52	Haplotype 10
23C12	Haplotype 10
23C15	Haplotype 10
24A09	Haplotype 10
24A22	Haplotype 10
24A34	Haplotype 10
24B28	Haplotype 10
24B35	Haplotype 10
24C57	Haplotype 10
24C72	Haplotype 10
25B67	Haplotype 10
25B77	Haplotype 10
26A78	Haplotype 10
42D57	Haplotype 10
44A46	Haplotype 10
46A34	Haplotype 10
46B30	Haplotype 10
51C32	Haplotype 10
52A35	Haplotype 10
52B15	Haplotype 10
52B19	Haplotype 10
52D16	Haplotype 10
53B29	Haplotype 10
53D42	Haplotype 10
53D60	Haplotype 10
54C43	Haplotype 10
54D49	Haplotype 10
56A45	Haplotype 10
A37	Haplotype 10
C32	Haplotype 10
C55	Haplotype 10
C69	Haplotype 10
D100	Haplotype 10
D102	Haplotype 10
D50	Haplotype 10
D51	Haplotype 10
D53	Haplotype 10
D55	Haplotype 10
D56	Haplotype 10
D57	Haplotype 10
D58	Haplotype 10
D60	Haplotype 10
D61	Haplotype 10
D62	Haplotype 10
D64	Haplotype 10
D65	Haplotype 10
D66	Haplotype 10
D67	Haplotype 10
D68	Haplotype 10
D69	Haplotype 10
D71	Haplotype 10
D73	Haplotype 10
D75	Haplotype 10
D76	Haplotype 10
D77	Haplotype 10
D79	Haplotype 10
D80	Haplotype 10
D81	Haplotype 10
D83	Haplotype 10
D84	Haplotype 10
D86	Haplotype 10
D88	Haplotype 10
D89	Haplotype 10
D90	Haplotype 10
D91	Haplotype 10
D92	Haplotype 10
D94	Haplotype 10
D96	Haplotype 10
D97	Haplotype 10
D98	Haplotype 10
D99	Haplotype 10
E01	Haplotype 10
E03	Haplotype 10
E04	Haplotype 10
E05	Haplotype 10
E06	Haplotype 10
E07	Haplotype 10
E10	Haplotype 10
E12	Haplotype 10
E13	Haplotype 10
E14	Haplotype 10
E18	Haplotype 10
E19	Haplotype 10
E21	Haplotype 10
E22	Haplotype 10
E24	Haplotype 10
E27	Haplotype 10
E29	Haplotype 10
E30	Haplotype 10
E32	Haplotype 10
E33	Haplotype 10
E34	Haplotype 10
E36	Haplotype 10
E38	Haplotype 10
E39	Haplotype 10
E42	Haplotype 10
E46	Haplotype 10
E47	Haplotype 10
E49	Haplotype 10
E50	Haplotype 10
F01	Haplotype 10
F02	Haplotype 10
F05	Haplotype 10
F06	Haplotype 10
F07	Haplotype 10
F08	Haplotype 10
F09	Haplotype 10
F10	Haplotype 10
F12	Haplotype 10
F13	Haplotype 10
F14	Haplotype 10
F15	Haplotype 10
F17	Haplotype 10
F18	Haplotype 10
F19	Haplotype 10
F21	Haplotype 10
F22	Haplotype 10
F24	Haplotype 10
F26	Haplotype 10
F27	Haplotype 10
F28	Haplotype 10
F29	Haplotype 10
F31	Haplotype 10
F34	Haplotype 10
F35	Haplotype 10
F36	Haplotype 10
F37	Haplotype 10
F38	Haplotype 10
F41	Haplotype 10
F43	Haplotype 10
F45	Haplotype 10
F46	Haplotype 10
F47	Haplotype 10
F48	Haplotype 10
F49	Haplotype 10
F50	Haplotype 10
G06	Haplotype 10
G08	Haplotype 10
G09	Haplotype 10
G11	Haplotype 10
G12	Haplotype 10
G13	Haplotype 10
G16	Haplotype 10
G18	Haplotype 10
G21	Haplotype 10
G24	Haplotype 10
G25	Haplotype 10
G28	Haplotype 10
G33	Haplotype 10
G34	Haplotype 10
G35	Haplotype 10
G36	Haplotype 10
G38	Haplotype 10
G40	Haplotype 10
G45	Haplotype 10
G48	Haplotype 10
J03	Haplotype 10
12B26	Haplotype 11
14A46	Haplotype 11
15A45	Haplotype 11
21D26	Haplotype 11
24A07	Haplotype 11
26A76	Haplotype 11
41A70	Haplotype 11
41B68	Haplotype 11
41C71	Haplotype 11
42A74	Haplotype 11
43B65	Haplotype 11
44B23	Haplotype 11
44C37	Haplotype 11
45C09	Haplotype 11
46A10	Haplotype 11
51B08	Haplotype 11
54B46	Haplotype 11
55A66	Haplotype 11
F04	Haplotype 11
F30	Haplotype 11
