Gene	Length
Pmea_00000001	534
Pmea_00000002	672
Pmea_00000003	576
Pmea_00000004	750
Pmea_00000005	1059
Pmea_00000006	816
Pmea_00000007	978
Pmea_00000008	1248
Pmea_00000009	1566
Pmea_00000010	768
Pmea_00000011	426
Pmea_00000012	966
Pmea_00000013	1608
Pmea_00000014	357
Pmea_00000015	1353
Pmea_00000016	315
Pmea_00000017	255
Pmea_00000018	1491
Pmea_00000019	702
Pmea_00000020	1104
Pmea_00000021	378
Pmea_00000022	384
Pmea_00000023	1071
Pmea_00000024	1137
Pmea_00000025	873
Pmea_00000026	819
Pmea_00000027	876
Pmea_00000028	231
Pmea_00000029	999
Pmea_00000030	507
Pmea_00000031	1824
Pmea_00000032	411
Pmea_00000033	120
Pmea_00000034	210
Pmea_00000035	687
Pmea_00000036	2205
Pmea_00000037	264
Pmea_00000038	228
Pmea_00000039	894
Pmea_00000040	477
Pmea_00000041	588
Pmea_00000042	219
Pmea_00000043	228
Pmea_00000044	423
Pmea_00000045	804
Pmea_00000046	783
Pmea_00000047	1989
Pmea_00000048	711
Pmea_00000049	1026
Pmea_00000050	312
Pmea_00000051	1467
Pmea_00000052	1608
Pmea_00000053	1017
Pmea_00000054	3255
Pmea_00000055	345
Pmea_00000056	2568
Pmea_00000057	333
Pmea_00000058	1383
Pmea_00000059	891
Pmea_00000060	1449
Pmea_00000061	870
Pmea_00000062	342
Pmea_00000063	471
Pmea_00000064	957
Pmea_00000065	3117
Pmea_00000066	402
Pmea_00000067	531
Pmea_00000068	213
Pmea_00000069	873
Pmea_00000070	2649
Pmea_00000071	2979
Pmea_00000072	399
Pmea_00000073	363
Pmea_00000074	2178
Pmea_00000075	639
Pmea_00000076	3441
Pmea_00000077	879
Pmea_00000078	2403
Pmea_00000079	3318
Pmea_00000080	828
Pmea_00000081	993
Pmea_00000082	462
Pmea_00000083	2226
Pmea_00000084	2259
Pmea_00000085	873
Pmea_00000086	2124
Pmea_00000087	1863
Pmea_00000088	333
Pmea_00000089	870
Pmea_00000090	2073
Pmea_00000091	1332
Pmea_00000092	363
Pmea_00000093	645
Pmea_00000094	1338
Pmea_00000095	1056
Pmea_00000096	2772
Pmea_00000097	900
Pmea_00000098	1818
Pmea_00000099	2595
Pmea_00000100	1689
Pmea_00000101	1569
Pmea_00000102	1905
Pmea_00000103	1761
Pmea_00000104	582
Pmea_00000105	1623
Pmea_00000106	3333
Pmea_00000107	2817
Pmea_00000108	333
Pmea_00000109	357
Pmea_00000110	741
Pmea_00000111	321
Pmea_00000112	315
Pmea_00000113	477
Pmea_00000114	1062
Pmea_00000115	1494
Pmea_00000116	213
Pmea_00000117	723
Pmea_00000118	2265
Pmea_00000119	3909
Pmea_00000120	1167
Pmea_00000121	1746
Pmea_00000122	1557
Pmea_00000123	825
Pmea_00000124	3267
Pmea_00000125	342
Pmea_00000126	345
Pmea_00000127	1107
Pmea_00000128	324
Pmea_00000129	468
Pmea_00000130	759
Pmea_00000131	468
Pmea_00000132	147
Pmea_00000133	828
Pmea_00000134	534
Pmea_00000135	501
Pmea_00000136	537
Pmea_00000137	1656
Pmea_00000138	549
Pmea_00000139	855
Pmea_00000140	378
Pmea_00000141	318
Pmea_00000142	657
Pmea_00000143	1590
Pmea_00000144	612
Pmea_00000145	279
Pmea_00000146	972
Pmea_00000147	735
Pmea_00000148	564
Pmea_00000149	312
Pmea_00000150	2451
Pmea_00000151	459
Pmea_00000152	183
Pmea_00000153	159
Pmea_00000154	243
Pmea_00000155	675
Pmea_00000156	612
Pmea_00000157	315
Pmea_00000158	3234
Pmea_00000159	1320
Pmea_00000160	1014
Pmea_00000161	1434
Pmea_00000162	2463
Pmea_00000163	4737
Pmea_00000164	645
Pmea_00000165	345
Pmea_00000166	2514
Pmea_00000167	1566
Pmea_00000168	1314
Pmea_00000169	444
Pmea_00000170	327
Pmea_00000171	1008
Pmea_00000172	1125
Pmea_00000173	348
Pmea_00000174	489
Pmea_00000175	228
Pmea_00000176	2601
Pmea_00000177	702
Pmea_00000178	1962
Pmea_00000179	732
Pmea_00000180	1797
Pmea_00000181	399
Pmea_00000182	4800
Pmea_00000183	408
Pmea_00000184	891
Pmea_00000185	891
Pmea_00000186	549
Pmea_00000187	2553
Pmea_00000188	1971
Pmea_00000189	333
Pmea_00000190	666
Pmea_00000191	537
Pmea_00000192	354
Pmea_00000193	318
Pmea_00000194	597
Pmea_00000195	444
Pmea_00000196	474
Pmea_00000197	1017
Pmea_00000198	399
